"","x","mvx"
"1",57.0331626158,NA
"2",57.458932715,NA
"3",57.9200489708,58.11447207212
"4",58.8702584372,58.5451787204
"5",59.2899576218,58.75454998026
"6",59.1866958572,58.7855896143
"7",58.5057890143,58.6985653539
"8",58.075247141,58.69895857164
"9",58.4351371352,58.81804308486
"10",59.2919237105,59.1590826539
"11",59.7821184233,59.7328810036
"12",60.2109868595,60.46642712738
"13",60.9442388895,61.2553269761
"14",62.1028677541,61.81769800836
"15",63.2364229541,62.17831141534
"16",62.5939735846,62.27594077648
"17",62.0140538944,62.11384841218
"18",61.4323856952,61.80117534248
"19",61.2924059326,61.74347814284
"20",61.6730576056,61.89961870656
"21",62.3054875864,62.25859330002
"22",62.794756713,62.5994837529
"23",63.2272586625,62.91277802654
"24",62.996858197,63.11369781006
"25",63.2395289738,63.26024617614
"26",63.310086504,63.26633836996
"27",63.5274985434,63.26013035462
"28",63.2577196316,63.3677705772
"29",62.9658181203,63.63680444098
"30",63.7777300867,63.779875973
"31",64.6552558229,64.0706877819
"32",64.2428562035,64.44715198512
"33",64.7117786761,64.80844512966
"34",64.8481391364,65.1878289682
"35",65.5841958094,65.95474759124
"36",66.5521750156,66.89788691568
"37",68.0774493187,68.34646333908
"38",69.4274752983,70.09448428366
"39",72.0910212534,72.00317858746
"40",74.3243005323,73.83411835524
"41",76.0956465346,75.51058579532
"42",77.2321481576,76.65963137008
"43",77.8098124987,77.4818044717
"44",77.8362491272,77.89261469292
"45",78.4351660404,77.90038745546
"46",78.1496976407,77.8458696905
"47",77.2710119703,77.9730265424
"48",77.5372236739,78.0275416393
"49",78.4720333867,78.43113339198
"50",78.7077415249,79.17895184112
"51",80.1676564041,79.79874024538
"52",81.010104216,80.12150610516
"53",80.6361656952,80.3293534613
"54",80.0858626856,80.02624529986
"55",79.7469783056,79.54304083452
"56",78.6521155969,79.2588136084
"57",78.5940818893,79.14169232046
"58",79.2150295646,79.31658955102
"59",79.5002562459,79.99278888586
"60",80.6214644584,80.7753106519
"61",82.0331122711,81.50899346158
"62",82.5066907195,82.33183461556
"63",82.883443613,82.89936923644
"64",83.6144620158,83.1240847628
"65",83.4591375628,83.22758157818
"66",83.1566899029,83.2705315513
"67",83.0241747964,83.14668276724
"68",83.0981934786,83.15666824326
"69",82.9952180955,83.37097353316
"70",83.5090649429,83.7933946333
"71",84.2282163524,84.42187338094
"72",85.1362802971,85.23452374078
"73",86.2405872168,86.03988700662
"74",87.0584698947,86.97981698658
"75",87.5358812721,87.869754125
"76",88.9278662522,88.33925069628
"77",89.5859659892,88.64157090992
"78",88.5880700732,88.9729893932
"79",88.5700709629,89.22519303266
"80",89.1929736885,89.38497351696
"81",90.1888844495,89.88375571962
"82",90.3848684107,90.35230321442
"83",91.0819810865,90.75097865166
"84",90.9128084369,91.14275866238
"85",91.1863508747,91.97438875974
"86",92.1477845031,92.5796003545
"87",94.5430188975,93.02868658046
"88",94.1080390603,93.43363577082
"89",93.1582395667,93.71050630106
"90",93.2110968265,93.58938531422
"91",93.5321371543,93.94272905252
"92",93.9374139633,94.47436313988
"93",95.8747577518,95.03267960764
"94",95.8164100035,95.40365624802
"95",96.0026791653,95.7998443866
"96",95.3870203562,95.77768853066
"97",95.9183546562,95.92856510182
"98",95.7639784721,95.99557711154
"99",96.5707928593,95.97835031362
"100",96.3377392139,95.72667841044
"101",95.3008863666,95.39396479736
"102",94.6599951403,94.9629399091
"103",94.1004104067,94.6800347625
"104",94.415668418,94.81353843974
"105",94.9232134809,95.2319152798
"106",95.9684047528,95.81215419896
"107",96.7518793406,96.65898048004
"108",97.0016050025,97.31132158104
"109",98.6497998234,98.07420039076
"110",98.1849189859,98.7984480593
"111",99.7827988014,99.27174147438
"112",100.3731176833,99.3185158624
"113",99.3680720779,99.60354788244
"114",98.8836717635,99.72629143902
"115",99.6100790861,99.73513059076
"116",100.3965165843,99.99025878832
"117",100.417313442,100.45918874848
"118",100.6437130657,100.801669477
"119",101.2283215643,101.0783544372
"120",101.3224827287,101.4375073564
"121",101.7799413853,101.85794158674
"122",102.213078038,102.51899315972
"123",102.7458842174,103.1939645753
"124",104.5335794292,103.86035829032
"125",104.6973398066,104.37023190262
"126",105.1119099604,104.75831920982
"127",104.7624460995,104.8353617436
"128",104.6863207534,104.75873136614
"129",104.9187920981,104.59717552108
"130",104.3141879193,104.59925047118
"131",104.3041307351,104.71901047224
"132",104.77282085,104.87572369318
"133",105.2851207587,105.29148198286
"134",105.7023582028,105.85810927796
"135",106.3929793677,106.30683287094
"136",107.1372672106,106.5964761189
"137",107.0164388149,106.71541251316
"138",106.7333369985,106.56076513558
"139",106.2970401741,106.15723543588
"140",105.6197424798,105.65229894248
"141",105.1196187121,105.15903216984
"142",104.4917563479,104.84587285914
"143",104.2670031353,104.7669422323
"144",104.7312436206,104.87058514882
"145",105.2250893456,105.27630364278
"146",105.6378332947,106.01861277164
"147",106.5203488177,106.59401202756
"148",107.9785487796,107.06942869616
"149",107.6082399002,107.26195642916
"150",107.6021726886,107.32730712752
"151",106.6004719597,106.92403216294
"152",106.8471023095,106.49101015988
"153",105.9621739567,105.8254911913
"154",105.4431298849,105.37153314596
"155",104.2745778457,104.90317652594
"156",104.330681733,104.69358983588
"157",104.5053192094,104.71093821194
"158",104.9142405064,104.64028426956
"159",105.5298717652,104.3937733621
"160",103.9213081338,NA
"161",103.0981271957,NA
